measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,567,Depressive disorders,1,Number,1990,508915.2018040715,697578.2913816771,350105.29759332683
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,567,Depressive disorders,1,Number,1990,847278.7026934077,1153663.5485909476,583838.7829515493
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,567,Depressive disorders,2,Percent,1990,0.02871240758169034,0.03639634091702947,0.02135916321873763
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,567,Depressive disorders,2,Percent,1990,0.058721583953169815,0.0728970132193919,0.046036114275941245
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,567,Depressive disorders,3,Rate,1990,683.4534262583403,936.8206562471603,470.17786920713047
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,567,Depressive disorders,3,Rate,1990,1142.2476630669983,1555.2963719665595,787.0945927406422
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,571,Anxiety disorders,1,Number,1990,359925.0988381141,501094.99914133665,246437.56699061304
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,571,Anxiety disorders,1,Number,1990,639240.7049414751,883818.4362076366,440200.97718509723
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,571,Anxiety disorders,2,Percent,1990,0.020320467056870507,0.026676691353047934,0.015139479318745748
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,571,Anxiety disorders,2,Percent,1990,0.04435202124148878,0.05738788411612603,0.03376942951771838
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,1,Male,24,15-49 years,571,Anxiety disorders,3,Rate,1990,483.3654823539448,672.9511966433989,330.95611787864715
2,DALYs (Disability-Adjusted Life Years),100,High-income North America,2,Female,24,15-49 years,571,Anxiety disorders,3,Rate,1990,861.7839667580037,1191.50822524452,593.4511700472115
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,567,Depressive disorders,1,Number,1990,666178.8616821477,911511.4397302655,454133.8630797721
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,567,Depressive disorders,1,Number,1990,1084238.0990513335,1484736.6912209094,743688.207117835
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,567,Depressive disorders,2,Percent,1990,0.0358170685878808,0.04526909644567708,0.026668696145999114
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,567,Depressive disorders,2,Percent,1990,0.06602087523319605,0.08261639945600219,0.05111437515075171
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,567,Depressive disorders,3,Rate,1990,681.0699319561818,931.8864196122984,464.2850997189286
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,567,Depressive disorders,3,Rate,1990,1134.0265122081285,1552.9160734767406,777.8385065292048
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,571,Anxiety disorders,1,Number,1990,439236.45790018095,632798.9731139017,288755.7818946985
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,571,Anxiety disorders,1,Number,1990,817108.9086465281,1179283.5716149164,532346.4399373195
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,571,Anxiety disorders,2,Percent,1990,0.023627459656207148,0.03152061114199046,0.016745477359524856
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,571,Anxiety disorders,2,Percent,1990,0.049772570892360306,0.0661890860312677,0.036055919587319456
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,24,15-49 years,571,Anxiety disorders,3,Rate,1990,449.05469341878353,646.943904032577,295.21032869519314
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,24,15-49 years,571,Anxiety disorders,3,Rate,1990,854.6307001915634,1233.436490373218,556.7918864839202
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,567,Depressive disorders,1,Number,1991,61381.293509010015,84100.47676390296,41697.44866646119
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,567,Depressive disorders,1,Number,1991,122496.12001046742,169568.00329386696,82902.53781329228
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,567,Depressive disorders,2,Percent,1991,0.02400052816229808,0.030754094153810876,0.01731759719007923
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,567,Depressive disorders,2,Percent,1991,0.054808467008388935,0.06878387057447219,0.0413219798691296
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,567,Depressive disorders,3,Rate,1991,499.911995089759,684.9454405986285,339.5994701536162
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,567,Depressive disorders,3,Rate,1991,974.2951055978407,1348.6898659410247,659.3803691596804
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,571,Anxiety disorders,1,Number,1991,47729.847744213745,68804.45581988966,31036.60241708912
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,571,Anxiety disorders,1,Number,1991,112475.62475478221,159272.78549986324,74424.23335167416
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,571,Anxiety disorders,2,Percent,1991,0.018670773944829935,0.025417404099322295,0.013019757380123634
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,571,Anxiety disorders,2,Percent,1991,0.05034453795464209,0.06608862197173376,0.03753968798426638
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,1,Male,24,15-49 years,571,Anxiety disorders,3,Rate,1991,388.7295631467563,560.3689791082237,252.77358863180604
2,DALYs (Disability-Adjusted Life Years),96,Southern Latin America,2,Female,24,15-49 years,571,Anxiety disorders,3,Rate,1991,894.595279330312,1266.8049841430993,591.946637054394
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,24,15-49 years,567,Depressive disorders,1,Number,1991,179754.2889877316,248680.46108467577,122798.48934863637
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,24,15-49 years,567,Depressive disorders,1,Number,1991,255986.16908836545,350936.3716884108,175702.46371409376
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,24,15-49 years,567,Depressive disorders,2,Percent,1991,0.022575076788916883,0.028881696050170005,0.016664225760737127
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,24,15-49 years,567,Depressive disorders,2,Percent,1991,0.037308427876708426,0.046556605705540946,0.028637131296904515
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,24,15-49 years,567,Depressive disorders,3,Rate,1991,380.53248712364154,526.4463779335149,259.9593858372519
